                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2223,                 1.6011,                 1.3498,                0.60756,                0.45049,                0.49317,                0.34824,                 1.1157,                 1.2876,                 1.2629,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.2232,                  1.592,                 1.3466,                0.60729,                0.45394,                0.49598,                0.35036,                 1.1138,                 1.2806,                 1.2599,              0.0093268,              0.0093268,              0.0093268
                     36,                  1.222,                 1.5879,                 1.3457,                0.60386,                0.45691,                0.49794,                0.35169,                 1.1119,                 1.2747,                 1.2572,               0.009307,               0.009307,               0.009307
                     37,                 1.2165,                 1.5836,                 1.3429,                0.60393,                0.46154,                0.49968,                0.35303,                 1.1097,                 1.2685,                 1.2544,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.2192,                 1.5794,                 1.3424,                0.60718,                0.46171,                0.50095,                0.35459,                 1.1077,                 1.2638,                 1.2516,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.2185,                 1.5757,                 1.3391,                0.61187,                 0.4629,                0.50221,                  0.356,                 1.1055,                 1.2592,                 1.2487,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.2199,                 1.5735,                 1.3378,                0.61511,                0.46382,                0.50423,                 0.3574,                 1.1041,                 1.2545,                 1.2462,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.2201,                 1.5729,                 1.3363,                0.61431,                0.46543,                0.50568,                0.35865,                 1.1028,                 1.2504,                 1.2438,               0.009208,               0.009208,               0.009208
                     42,                 1.2171,                 1.5702,                 1.3349,                0.61328,                0.46717,                0.50728,                0.35995,                 1.1015,                 1.2463,                 1.2412,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.2117,                 1.5628,                 1.3327,                 0.6088,                0.47042,                0.50838,                0.36075,                 1.1001,                 1.2426,                 1.2392,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.2128,                 1.5597,                 1.3325,                0.60654,                0.47213,                0.50973,                0.36219,                  1.099,                 1.2387,                 1.2375,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.2122,                 1.5567,                 1.3312,                0.60672,                0.47235,                 0.5103,                0.36292,                 1.0983,                 1.2359,                 1.2361,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.2143,                 1.5583,                 1.3306,                0.61722,                0.46807,                 0.5114,                0.36341,                 1.0977,                 1.2325,                 1.2346,               0.009109,               0.009109,               0.009109
                     47,                 1.2108,                  1.552,                 1.3278,                0.61301,                 0.4725,                0.51287,                0.36471,                 1.0965,                 1.2291,                  1.233,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.2075,                 1.5491,                 1.3273,                0.61902,                0.46866,                0.51457,                0.36542,                 1.0955,                 1.2262,                 1.2316,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.2086,                 1.5502,                 1.3255,                0.61982,                0.46958,                0.51584,                0.36639,                  1.095,                 1.2224,                 1.2301,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.2071,                 1.5473,                 1.3248,                 0.6208,                0.47143,                0.51683,                0.36713,                 1.0947,                 1.2204,                 1.2292,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.2071,                 1.5435,                 1.3237,                0.61973,                0.47346,                0.51726,                0.36737,                  1.094,                 1.2183,                 1.2277,                0.00901,                0.00901,                0.00901
                     52,                 1.2051,                 1.5376,                 1.3225,                0.62424,                0.47369,                0.51796,                0.36795,                 1.0924,                 1.2148,                  1.226,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.2067,                 1.5342,                 1.3201,                0.61801,                0.47669,                0.51908,                0.36884,                 1.0911,                 1.2127,                 1.2241,              0.0089704,              0.0089704,              0.0089704
                     54,                  1.204,                 1.5398,                  1.321,                0.62365,                0.47472,                0.51946,                 0.3692,                 1.0901,                 1.2106,                 1.2227,              0.0089506,              0.0089506,              0.0089506
                     55,                  1.202,                 1.5322,                 1.3181,                 0.6168,                0.47921,                0.52131,                 0.3704,                 1.0893,                 1.2087,                 1.2216,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2017,                 1.5375,                 1.3174,                0.62151,                 0.4798,                0.52264,                0.37149,                 1.0886,                 1.2058,                 1.2206,               0.008911,               0.008911,               0.008911
                     57,                 1.2041,                 1.5307,                  1.317,                0.62423,                0.48027,                0.52281,                0.37189,                 1.0882,                 1.2035,                 1.2196,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.1963,                 1.5262,                 1.3149,                0.62591,                0.48301,                0.52414,                0.37298,                 1.0878,                 1.2019,                 1.2191,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.2011,                 1.5293,                 1.3159,                0.63267,                0.48126,                0.52529,                0.37381,                 1.0872,                 1.1996,                 1.2184,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.1994,                 1.5289,                 1.3141,                0.63322,                0.48153,                0.52567,                0.37423,                 1.0859,                 1.1968,                 1.2167,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.1986,                 1.5225,                 1.3117,                0.63408,                0.48159,                0.52604,                0.37482,                 1.0852,                 1.1947,                 1.2151,               0.008812,               0.008812,               0.008812
                     62,                 1.1983,                 1.5196,                  1.311,                0.63909,                0.47722,                0.52671,                0.37549,                 1.0838,                 1.1931,                 1.2135,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.1968,                 1.5186,                 1.3098,                0.63002,                0.48533,                0.52807,                0.37642,                 1.0835,                 1.1914,                 1.2127,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.1991,                 1.5182,                 1.3106,                 0.6349,                0.48177,                 0.5282,                0.37673,                 1.0827,                 1.1891,                 1.2116,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.1973,                 1.5182,                 1.3084,                0.63054,                0.48286,                0.52846,                0.37729,                 1.0815,                 1.1885,                 1.2101,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.1934,                 1.5108,                 1.3039,                0.62894,                0.48429,                 0.5294,                0.37762,                 1.0812,                  1.187,                 1.2091,               0.008713,               0.008713,               0.008713
                     67,                 1.1935,                 1.5117,                 1.3068,                0.63275,                 0.4838,                0.53031,                0.37818,                 1.0809,                 1.1854,                 1.2085,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.1925,                 1.5088,                 1.3057,                0.62935,                0.48604,                0.53195,                0.37957,                 1.0801,                 1.1836,                 1.2074,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.1948,                 1.5064,                 1.3046,                 0.6327,                0.48483,                0.53196,                 0.3797,                 1.0795,                 1.1818,                  1.206,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.1918,                 1.5028,                 1.3015,                0.63128,                0.48937,                0.53339,                0.38038,                 1.0788,                 1.1802,                  1.205,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.1918,                 1.5043,                 1.3023,                0.63954,                0.48445,                0.53338,                0.38101,                 1.0785,                 1.1787,                 1.2044,               0.008614,               0.008614,               0.008614
                     72,                 1.1947,                 1.5051,                 1.3011,                0.64227,                 0.4824,                0.53388,                0.38135,                 1.0783,                 1.1778,                 1.2036,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.1919,                 1.5034,                 1.3019,                0.63033,                0.49057,                0.53435,                0.38158,                 1.0775,                 1.1764,                 1.2025,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.1937,                 1.4982,                 1.3001,                0.62521,                0.49655,                0.53516,                0.38231,                 1.0773,                 1.1749,                 1.2017,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.1898,                 1.4972,                 1.2993,                0.62861,                0.49481,                0.53602,                0.38297,                 1.0769,                 1.1738,                 1.2007,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.1929,                 1.4925,                 1.2996,                0.62789,                0.49289,                0.53647,                0.38394,                  1.077,                 1.1726,                 1.2006,               0.008515,               0.008515,               0.008515
                     77,                 1.1885,                   1.49,                 1.2987,                0.63344,                0.49302,                0.53777,                0.38452,                 1.0761,                 1.1708,                 1.1997,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.1923,                 1.4961,                 1.2985,                0.63727,                0.49134,                0.53844,                0.38514,                 1.0755,                 1.1701,                 1.1993,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.1862,                 1.4905,                 1.2973,                0.63357,                0.49326,                0.53886,                0.38527,                 1.0753,                 1.1685,                 1.1994,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.1875,                 1.4879,                 1.2945,                0.63049,                0.49551,                0.53916,                0.38546,                 1.0749,                 1.1672,                 1.1988,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.1865,                 1.4901,                 1.2948,                0.63003,                0.49732,                 0.5402,                0.38631,                 1.0745,                 1.1667,                 1.1979,               0.008416,               0.008416,               0.008416
                     82,                 1.1886,                 1.4867,                 1.2948,                0.63419,                0.49695,                0.54115,                0.38744,                 1.0745,                 1.1654,                 1.1975,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.1874,                 1.4866,                 1.2948,                0.63307,                0.49877,                0.54132,                0.38785,                 1.0738,                 1.1648,                 1.1966,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.1865,                 1.4829,                  1.293,                0.62713,                0.49964,                 0.5411,                0.38773,                 1.0732,                 1.1632,                 1.1956,              0.0083566,              0.0083566,              0.0083566
                     85,                  1.183,                 1.4841,                 1.2932,                0.62909,                0.49924,                0.54122,                0.38779,                 1.0729,                 1.1621,                 1.1953,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.1871,                 1.4836,                 1.2927,                0.64362,                0.48997,                0.54166,                0.38836,                 1.0723,                 1.1611,                 1.1941,               0.008317,               0.008317,               0.008317
                     87,                 1.1869,                 1.4877,                 1.2929,                0.64532,                 0.4883,                0.54203,                 0.3887,                 1.0717,                 1.1602,                 1.1932,              0.0082972,              0.0082972,              0.0082972
