                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1372,                  1.608,                   1.54,                0.70487,                0.62546,                0.68967,                0.47463,                 1.1047,                 1.1897,                 1.5046,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1397,                 1.5865,                 1.5454,                0.72099,                0.61624,                0.69273,                0.47864,                 1.1009,                 1.1816,                  1.503,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.1194,                 1.5796,                 1.5349,                0.71855,                0.62352,                0.69641,                0.48162,                 1.0981,                 1.1747,                 1.4991,               0.009307,               0.009307,               0.009307
                     37,                  1.117,                 1.5539,                   1.53,                0.71621,                0.62848,                0.70056,                0.48577,                 1.0912,                 1.1638,                 1.4921,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.1273,                 1.5585,                 1.5342,                0.71913,                0.62837,                0.70204,                 0.4881,                 1.0902,                 1.1535,                 1.4894,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.1144,                 1.5388,                 1.5247,                0.71254,                0.63268,                 0.7041,                 0.4903,                 1.0881,                 1.1466,                 1.4892,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.1149,                 1.5518,                 1.5261,                0.71603,                0.63294,                0.70557,                0.49203,                 1.0831,                 1.1409,                  1.485,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.1031,                 1.5231,                  1.517,                0.71718,                0.63553,                0.70718,                0.49465,                 1.0815,                 1.1354,                 1.4829,               0.009208,               0.009208,               0.009208
                     42,                 1.1106,                 1.5235,                 1.5203,                0.72099,                0.63581,                0.70815,                0.49602,                 1.0784,                 1.1319,                 1.4797,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1142,                 1.5226,                 1.5135,                0.72586,                0.63714,                0.71059,                0.49777,                 1.0783,                 1.1278,                 1.4794,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.1129,                 1.5053,                 1.5178,                0.72503,                0.63895,                0.71299,                0.49927,                 1.0771,                 1.1245,                 1.4776,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.0907,                 1.4857,                 1.5045,                0.72776,                0.64028,                0.71531,                0.50117,                 1.0757,                 1.1193,                 1.4755,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.0939,                 1.4856,                 1.4991,                0.73082,                0.63977,                0.71676,                0.50288,                 1.0738,                 1.1149,                 1.4739,               0.009109,               0.009109,               0.009109
                     47,                 1.0905,                 1.4782,                 1.4949,                 0.7324,                0.64038,                0.71777,                0.50357,                 1.0728,                 1.1094,                 1.4725,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.0918,                 1.4715,                 1.5006,                 0.7377,                0.63849,                0.71845,                0.50457,                 1.0716,                 1.1049,                 1.4706,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.1019,                 1.4954,                 1.5057,                0.74067,                 0.6387,                0.72003,                0.50625,                 1.0702,                  1.102,                  1.469,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.0938,                 1.4734,                  1.499,                0.73927,                0.64018,                0.72166,                0.50778,                 1.0691,                  1.099,                 1.4676,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0963,                 1.4666,                 1.4984,                 0.7384,                0.64096,                0.72282,                0.50886,                 1.0681,                 1.0976,                  1.466,                0.00901,                0.00901,                0.00901
                     52,                 1.0867,                 1.4526,                 1.4879,                0.73965,                0.64101,                0.72396,                0.50995,                 1.0673,                 1.0951,                 1.4645,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0823,                 1.4456,                 1.4873,                0.74263,                 0.6395,                0.72472,                0.51069,                 1.0666,                 1.0925,                 1.4631,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0716,                 1.4476,                 1.4866,                0.74527,                 0.6387,                0.72527,                0.51112,                 1.0663,                   1.09,                 1.4622,              0.0089506,              0.0089506,              0.0089506
                     55,                  1.064,                  1.431,                 1.4737,                0.74301,                0.64262,                 0.7259,                0.51253,                 1.0657,                 1.0881,                 1.4615,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.0621,                 1.4311,                 1.4769,                0.74456,                0.64284,                0.72701,                0.51348,                 1.0651,                 1.0862,                 1.4607,               0.008911,               0.008911,               0.008911
                     57,                 1.0667,                 1.4235,                 1.4815,                0.74324,                0.64301,                0.72757,                0.51433,                 1.0646,                 1.0848,                 1.4601,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.0694,                 1.4244,                 1.4766,                0.74229,                0.64297,                0.72861,                0.51523,                 1.0641,                  1.083,                 1.4594,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.0693,                 1.4207,                  1.482,                0.74489,                0.64283,                0.72944,                0.51606,                 1.0635,                 1.0809,                 1.4589,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.0684,                 1.4109,                 1.4702,                0.74076,                0.64829,                0.73045,                0.51668,                 1.0627,                  1.079,                  1.458,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.0601,                 1.3857,                 1.4676,                0.74432,                0.64623,                 0.7313,                0.51772,                 1.0621,                  1.077,                  1.457,               0.008812,               0.008812,               0.008812
                     62,                 1.0567,                  1.394,                 1.4651,                0.74001,                0.64881,                  0.732,                 0.5182,                 1.0614,                 1.0753,                 1.4561,              0.0087922,              0.0087922,              0.0087922
