                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1969,                 4.6361,                 3.7199,                  0.667,                0.01271,                0.00676,                0.00192,                 2.8073,                 3.9022,                 3.3313,               0.070058,              0.0033269,              0.0033269
                      1,                 2.2072,                 3.7618,                 2.6726,                0.20107,                0.11336,                0.05742,                0.02454,                 2.0478,                 3.2035,                 2.5704,               0.040047,              0.0066492,              0.0066492
                      2,                  1.824,                 3.2188,                 2.2697,                0.16825,                0.17319,                0.08207,                0.03742,                 1.8474,                  4.027,                 2.3774,               0.010025,              0.0099606,              0.0099606
                      3,                 1.6818,                 2.9532,                 2.0956,                0.21523,                0.22791,                0.15291,                0.08057,                 1.7302,                  2.726,                 2.1583,              0.0099505,              0.0099505,              0.0099505
                      4,                 1.5754,                 2.7305,                 1.9749,                0.26623,                0.28176,                 0.2102,                0.11328,                 1.6367,                  2.488,                 2.0635,              0.0099505,              0.0099505,              0.0099505
                      5,                 1.5157,                  2.572,                 1.9115,                0.34074,                0.30025,                0.24674,                0.13318,                  1.578,                  2.352,                 1.9813,               0.009934,               0.009934,               0.009934
                      6,                 1.4713,                 2.4469,                 1.8654,                0.37061,                0.35434,                0.31166,                 0.1799,                 1.5016,                 2.1242,                 1.9052,              0.0099175,              0.0099175,              0.0099175
                      7,                 1.4346,                 2.3598,                 1.8175,                0.40454,                0.36799,                0.33762,                0.18973,                 1.4848,                 2.0935,                 1.8696,               0.009901,               0.009901,               0.009901
                      8,                 1.4018,                 2.2897,                 1.7888,                0.41995,                0.39718,                0.36619,                 0.2151,                 1.4479,                 1.9965,                 1.8396,              0.0098845,              0.0098845,              0.0098845
                      9,                 1.3742,                 2.2262,                 1.7635,                0.43751,                0.40559,                0.37655,                0.22085,                 1.4688,                 1.9896,                 1.8576,               0.009868,               0.009868,               0.009868
                     10,                 1.3492,                 2.1537,                  1.745,                0.46842,                0.42721,                0.42077,                0.24957,                 1.3838,                 1.8426,                 1.7586,              0.0098515,              0.0098515,              0.0098515
                     11,                 1.3375,                 2.1061,                 1.7296,                0.51478,                0.44502,                0.45056,                0.27677,                  1.354,                 1.7866,                 1.7458,               0.009835,               0.009835,               0.009835
                     12,                 1.3226,                 2.0862,                 1.7147,                0.50619,                0.46404,                0.46773,                0.28366,                 1.3366,                 1.7249,                 1.7218,              0.0098185,              0.0098185,              0.0098185
                     13,                 1.3062,                 2.0376,                 1.6954,                0.52547,                0.47611,                0.48241,                0.29624,                 1.3357,                 1.6969,                 1.7206,               0.009802,               0.009802,               0.009802
                     14,                 1.2872,                 1.9781,                 1.6779,                0.54079,                0.48668,                0.50387,                0.31428,                 1.3109,                 1.6556,                 1.6862,              0.0097855,              0.0097855,              0.0097855
                     15,                 1.2747,                 1.9736,                 1.6653,                 0.5695,                 0.4954,                0.52268,                0.33142,                 1.2869,                 1.5881,                 1.6696,               0.009769,               0.009769,               0.009769
                     16,                 1.2697,                 1.9357,                 1.6572,                0.56868,                0.50556,                0.53033,                0.33626,                 1.2761,                 1.5849,                 1.6481,              0.0097525,              0.0097525,              0.0097525
                     17,                 1.2524,                 1.8979,                 1.6436,                 0.5924,                0.50043,                0.54404,                0.35026,                  1.253,                 1.5365,                 1.6288,               0.009736,               0.009736,               0.009736
