                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3223,                 1.0492,                 1.4522,                0.85806,                 0.7134,                0.82121,                0.52861,                 1.3042,                 1.0291,                 1.4813,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.3237,                 1.0528,                 1.4496,                0.84306,                0.74137,                0.82842,                 0.5322,                 1.3048,                 1.0185,                 1.4931,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.3055,                 1.0242,                 1.4378,                0.83846,                0.74507,                0.83018,                0.53731,                 1.2813,                 1.0108,                 1.4909,               0.009307,               0.009307,               0.009307
                     37,                 1.3133,                 1.0378,                 1.4325,                 0.8734,                0.74877,                0.84081,                0.55022,                 1.2608,                 0.9521,                 1.4596,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.3226,                 1.0499,                 1.4541,                0.86424,                0.71998,                0.82538,                0.54784,                 1.2469,                0.97321,                 1.4339,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.2848,                 1.0022,                 1.4135,                0.86245,                0.74248,                0.83717,                0.55116,                 1.2629,                0.96165,                  1.447,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.2825,                 1.0182,                 1.4266,                0.85433,                0.76685,                0.84539,                0.55602,                 1.2542,                0.93371,                 1.4414,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.2467,                0.97057,                 1.4112,                0.86168,                0.74796,                0.83023,                0.54938,                  1.245,                  0.968,                 1.4326,               0.009208,               0.009208,               0.009208
                     42,                 1.2766,                0.99934,                 1.4251,                 0.8471,                0.75247,                0.84246,                0.55727,                 1.2444,                0.96797,                 1.4285,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.2513,                0.97768,                   1.39,                 0.8673,                0.73931,                0.83259,                0.55194,                  1.254,                 0.9498,                 1.4343,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.2386,                0.93719,                 1.3611,                0.84224,                0.76192,                0.84338,                0.56893,                 1.1929,                0.92638,                 1.3909,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.2055,                0.92781,                  1.372,                0.87366,                0.75493,                0.85132,                0.57125,                 1.2178,                0.91528,                 1.4101,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.2465,                0.95768,                 1.3965,                0.87908,                 0.7443,                0.84462,                0.56466,                 1.2247,                0.91604,                 1.4178,               0.009109,               0.009109,               0.009109
                     47,                 1.2693,                0.97488,                    1.4,                0.87776,                0.75884,                 0.8548,                0.56524,                 1.2245,                0.88866,                 1.4051,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.2267,                0.93065,                 1.3656,                0.86485,                0.75516,                0.84461,                0.56788,                 1.2145,                0.92322,                 1.3875,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.2319,                0.93453,                 1.3784,                 0.8783,                0.75411,                0.84532,                0.56343,                 1.2245,                0.90792,                 1.4171,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.2603,                0.93734,                 1.3703,                 0.8585,                0.77334,                0.86067,                0.56936,                 1.2228,                0.85941,                 1.3873,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.2131,                0.91677,                 1.3647,                0.89077,                0.77919,                0.86753,                0.58149,                   1.19,                0.86451,                  1.376,                0.00901,                0.00901,                0.00901
                     52,                 1.2341,                0.93352,                 1.3701,                0.87438,                 0.7759,                0.86169,                0.57051,                  1.206,                0.90347,                 1.3803,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.2052,                0.89155,                 1.3284,                0.87077,                0.77303,                0.86123,                0.58214,                 1.1854,                0.85743,                 1.3637,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.1966,                0.89318,                  1.352,                0.89405,                0.76686,                0.86242,                0.58582,                 1.1758,                0.85937,                 1.3608,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.2199,                0.88692,                  1.342,                0.87923,                0.73849,                0.84654,                0.57063,                 1.2098,                0.87917,                 1.3734,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2219,                0.89679,                  1.357,                0.87513,                0.77262,                0.86238,                0.59066,                 1.1564,                 0.8609,                  1.343,               0.008911,               0.008911,               0.008911
                     57,                 1.2129,                0.89449,                 1.3391,                0.86702,                 0.7882,                0.87012,                0.59172,                 1.1764,                0.83815,                 1.3611,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.1549,                0.83803,                 1.3003,                 0.8865,                0.78043,                 0.8629,                0.58533,                 1.1682,                0.83864,                 1.3579,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.1987,                  0.901,                 1.3277,                0.86213,                0.78681,                0.86169,                0.58289,                 1.1717,                0.84579,                 1.3579,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.1664,                0.86068,                 1.3141,                0.88105,                0.77714,                0.86208,                 0.5845,                 1.1705,                0.84305,                 1.3544,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.2047,                0.87074,                 1.3369,                0.87901,                0.78372,                0.87095,                 0.5927,                 1.1646,                0.83407,                 1.3424,               0.008812,               0.008812,               0.008812
                     62,                 1.1504,                0.82944,                 1.2915,                0.86909,                0.79167,                0.86546,                0.58757,                 1.1639,                0.82102,                 1.3523,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.1646,                0.84884,                 1.3261,                0.88186,                0.79441,                0.86885,                0.59405,                 1.1563,                 0.8121,                 1.3461,              0.0087724,              0.0087724,              0.0087724
                     64,                  1.131,                0.83901,                 1.3114,                0.89365,                0.79125,                0.87586,                0.60191,                 1.1313,                0.80886,                 1.3175,              0.0087526,              0.0087526,              0.0087526
                     65,                  1.178,                0.85451,                 1.3221,                0.88295,                0.79403,                0.87367,                0.59788,                 1.1508,                0.80654,                  1.331,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.1612,                 0.8327,                 1.3052,                0.88869,                0.78463,                0.87065,                0.59672,                 1.1458,                 0.8082,                 1.3293,               0.008713,               0.008713,               0.008713
                     67,                 1.1551,                0.84091,                  1.312,                0.89514,                0.79276,                 0.8748,                0.60285,                 1.1427,                0.80414,                 1.3341,              0.0086932,              0.0086932,              0.0086932
                     68,                  1.143,                0.83485,                  1.307,                0.89146,                0.80058,                0.87922,                0.60763,                 1.1417,                0.80837,                 1.3199,              0.0086734,              0.0086734,              0.0086734
