                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1464,                 1.5784,                 1.4719,                 0.6965,                0.62372,                0.68978,                0.47269,                 1.1075,                 1.1804,                 1.4078,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1483,                 1.5835,                 1.4719,                0.70133,                0.61477,                0.69313,                 0.4772,                 1.1031,                  1.178,                 1.4025,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.1453,                 1.5725,                 1.4692,                0.69937,                 0.6258,                0.69634,                0.48251,                 1.1022,                 1.1667,                 1.3973,               0.009307,               0.009307,               0.009307
                     37,                 1.1378,                 1.5696,                 1.4672,                0.71655,                 0.6227,                0.70077,                0.48502,                 1.0977,                  1.158,                  1.395,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.1327,                 1.5526,                 1.4606,                0.72595,                0.62367,                 0.7055,                0.48903,                 1.0918,                  1.148,                 1.3871,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.1253,                 1.5376,                 1.4546,                0.71787,                0.62624,                0.70578,                0.49056,                 1.0901,                 1.1412,                 1.3856,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.1227,                   1.53,                 1.4523,                0.71967,                0.62684,                0.71003,                  0.495,                 1.0866,                 1.1269,                   1.38,              0.0092278,              0.0092278,              0.0092278
                     41,                  1.126,                  1.529,                 1.4521,                0.70775,                0.63817,                0.71257,                0.49651,                 1.0846,                   1.12,                 1.3768,               0.009208,               0.009208,               0.009208
                     42,                 1.1239,                 1.5094,                 1.4488,                0.73543,                0.62697,                0.71546,                0.50042,                 1.0792,                 1.1171,                 1.3731,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1117,                  1.508,                 1.4425,                0.73519,                0.63454,                  0.721,                0.50374,                 1.0777,                 1.1083,                 1.3717,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.1104,                 1.4918,                 1.4342,                0.73395,                0.63477,                0.72125,                 0.5037,                 1.0746,                 1.1041,                 1.3674,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.1113,                 1.4972,                 1.4389,                0.73321,                0.63753,                0.72359,                0.50534,                 1.0702,                 1.0964,                 1.3617,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.1067,                 1.4933,                 1.4366,                0.72512,                0.64268,                 0.7257,                0.50761,                 1.0703,                 1.0928,                  1.362,               0.009109,               0.009109,               0.009109
                     47,                 1.1013,                 1.4729,                  1.426,                0.73967,                0.63706,                0.72841,                0.50967,                 1.0667,                 1.0879,                 1.3591,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.1033,                 1.4729,                 1.4251,                0.74118,                0.63811,                0.72886,                0.51148,                 1.0631,                 1.0847,                 1.3547,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.0995,                 1.4632,                 1.4235,                0.75167,                0.63412,                0.73037,                0.51324,                 1.0624,                 1.0804,                 1.3535,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.0911,                 1.4581,                 1.4163,                0.75598,                 0.6315,                0.73219,                0.51459,                 1.0605,                 1.0763,                 1.3506,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0901,                 1.4488,                 1.4165,                0.76457,                0.62777,                0.73394,                0.51691,                 1.0593,                 1.0723,                 1.3492,                0.00901,                0.00901,                0.00901
                     52,                 1.0888,                 1.4381,                 1.4089,                 0.7542,                0.64004,                0.73627,                0.51903,                 1.0575,                 1.0687,                 1.3469,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0924,                 1.4404,                 1.4155,                 0.7414,                0.64888,                0.73782,                0.52066,                 1.0561,                 1.0649,                 1.3455,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0915,                 1.4365,                 1.4137,                0.74233,                0.65321,                0.73928,                0.52241,                 1.0536,                 1.0615,                 1.3435,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.0852,                 1.4321,                 1.4134,                0.75021,                0.64717,                  0.741,                0.52326,                 1.0512,                 1.0587,                 1.3413,              0.0089308,              0.0089308,              0.0089308
                     56,                  1.081,                 1.4242,                 1.4055,                0.75595,                0.64692,                0.74255,                0.52408,                 1.0492,                  1.055,                 1.3394,               0.008911,               0.008911,               0.008911
                     57,                 1.0746,                 1.4138,                 1.3996,                0.76015,                 0.6469,                0.74335,                0.52532,                 1.0476,                 1.0512,                 1.3375,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.0752,                 1.4164,                 1.4019,                0.76048,                0.65168,                0.74422,                0.52604,                 1.0456,                 1.0486,                 1.3356,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.0707,                 1.4022,                 1.3975,                0.76104,                0.65037,                0.74536,                0.52798,                 1.0443,                 1.0452,                 1.3343,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.0709,                 1.4015,                 1.3955,                0.75816,                0.65181,                0.74636,                0.52865,                 1.0431,                 1.0423,                 1.3333,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.0672,                  1.399,                 1.3975,                0.75786,                 0.6545,                0.74759,                0.52971,                 1.0418,                 1.0399,                 1.3319,               0.008812,               0.008812,               0.008812
                     62,                  1.065,                 1.3823,                 1.3922,                0.75831,                0.65322,                0.74812,                0.53037,                 1.0405,                 1.0376,                 1.3305,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.0679,                 1.3862,                 1.3901,                0.75596,                0.65735,                0.74888,                0.53091,                 1.0393,                 1.0352,                 1.3292,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.0645,                 1.3742,                 1.3865,                0.75864,                0.65708,                0.74922,                0.53204,                 1.0382,                 1.0337,                 1.3278,              0.0087526,              0.0087526,              0.0087526
                     65,                  1.063,                 1.3725,                 1.3833,                 0.7583,                0.66033,                0.75011,                0.53298,                 1.0371,                 1.0317,                 1.3262,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.0582,                 1.3664,                 1.3809,                0.75985,                0.65957,                0.75085,                0.53397,                 1.0357,                 1.0292,                 1.3246,               0.008713,               0.008713,               0.008713
                     67,                 1.0574,                 1.3654,                   1.38,                0.75791,                 0.6597,                0.75139,                0.53506,                 1.0345,                 1.0268,                 1.3233,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.0604,                 1.3607,                 1.3807,                 0.7566,                0.66091,                 0.7518,                0.53576,                 1.0338,                 1.0246,                 1.3224,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.0605,                 1.3644,                 1.3845,                0.75534,                0.66425,                0.75222,                0.53631,                 1.0336,                 1.0228,                 1.3217,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.0509,                 1.3575,                 1.3736,                0.75964,                0.66335,                 0.7533,                0.53679,                 1.0329,                 1.0206,                 1.3208,              0.0086338,              0.0086338,              0.0086338
                     71,                   1.05,                 1.3398,                 1.3692,                0.76155,                0.66269,                0.75396,                0.53733,                 1.0323,                 1.0189,                 1.3196,               0.008614,               0.008614,               0.008614
                     72,                 1.0514,                 1.3424,                 1.3733,                0.76241,                0.66288,                0.75451,                0.53797,                 1.0317,                 1.0169,                 1.3189,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.0465,                 1.3374,                  1.372,                0.76211,                0.66434,                0.75532,                0.53898,                  1.031,                 1.0149,                 1.3181,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.0504,                 1.3303,                 1.3706,                0.76527,                0.66393,                0.75611,                0.54014,                 1.0301,                 1.0128,                 1.3172,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.0478,                 1.3299,                 1.3681,                0.76409,                0.66444,                0.75635,                0.54039,                 1.0296,                  1.011,                 1.3164,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.0445,                 1.3253,                 1.3653,                 0.7658,                0.66482,                0.75663,                 0.5413,                 1.0289,                 1.0096,                 1.3155,               0.008515,               0.008515,               0.008515
                     77,                 1.0419,                  1.319,                 1.3648,                0.76705,                 0.6646,                0.75746,                0.54202,                 1.0282,                 1.0077,                 1.3147,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.0422,                 1.3273,                 1.3662,                0.76334,                0.66785,                0.75774,                0.54256,                 1.0274,                  1.006,                 1.3137,              0.0084754,              0.0084754,              0.0084754
                     79,                  1.038,                 1.3156,                  1.361,                0.76716,                 0.6659,                0.75865,                0.54314,                 1.0266,                 1.0044,                 1.3127,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.0401,                 1.3209,                 1.3597,                0.76789,                0.66513,                0.75909,                0.54366,                 1.0258,                 1.0028,                  1.312,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.0381,                   1.31,                  1.359,                0.76759,                 0.6664,                0.75966,                0.54434,                 1.0248,                 1.0014,                  1.311,               0.008416,               0.008416,               0.008416
                     82,                 1.0359,                 1.3151,                  1.357,                0.76398,                0.66962,                0.75982,                0.54464,                 1.0242,                 0.9997,                 1.3102,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.0331,                 1.3012,                 1.3523,                0.75738,                0.67564,                0.76045,                0.54525,                 1.0232,                0.99791,                 1.3091,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.0315,                 1.3006,                 1.3538,                0.75725,                0.67655,                0.76103,                0.54607,                 1.0225,                0.99651,                 1.3082,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.0345,                 1.3024,                 1.3555,                0.75733,                0.67576,                0.76122,                0.54668,                 1.0218,                0.99492,                 1.3074,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.0276,                 1.2988,                 1.3462,                0.75874,                0.67516,                0.76174,                0.54742,                  1.021,                0.99318,                 1.3063,               0.008317,               0.008317,               0.008317
                     87,                 1.0269,                 1.2927,                 1.3482,                0.76104,                0.67479,                0.76212,                0.54776,                 1.0203,                0.99166,                 1.3054,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.0314,                 1.2897,                 1.3486,                0.76108,                0.67562,                0.76231,                0.54818,                 1.0196,                0.99004,                 1.3047,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.0261,                 1.2839,                 1.3444,                 0.7583,                0.67777,                0.76275,                0.54869,                 1.0188,                0.98875,                 1.3036,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.0305,                 1.2841,                  1.348,                0.75891,                0.67844,                0.76311,                  0.549,                 1.0182,                  0.987,                 1.3028,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.0268,                 1.2808,                 1.3472,                0.76295,                0.67671,                0.76365,                0.54953,                 1.0177,                0.98528,                 1.3019,               0.008218,               0.008218,               0.008218
                     92,                 1.0216,                 1.2758,                 1.3427,                 0.7654,                0.67666,                0.76423,                0.55025,                 1.0171,                0.98385,                 1.3012,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.0206,                 1.2673,                  1.339,                0.76609,                0.67882,                 0.7648,                0.55043,                 1.0165,                0.98235,                 1.3004,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.0225,                 1.2756,                 1.3431,                0.76926,                0.67767,                0.76529,                0.55133,                 1.0156,                0.98066,                 1.2994,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.0227,                 1.2723,                 1.3388,                0.76752,                0.68019,                0.76583,                0.55146,                 1.0151,                0.97905,                 1.2985,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.0184,                 1.2594,                 1.3372,                0.76692,                0.67995,                0.76609,                0.55192,                 1.0147,                0.97749,                 1.2978,               0.008119,               0.008119,               0.008119
                     97,                 1.0206,                 1.2554,                 1.3374,                0.76956,                0.67752,                0.76669,                0.55215,                  1.014,                 0.9761,                  1.297,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.0159,                 1.2536,                 1.3359,                 0.7724,                0.67506,                0.76703,                0.55305,                 1.0134,                0.97483,                 1.2962,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.0153,                 1.2547,                 1.3342,                0.77422,                 0.6745,                0.76734,                0.55354,                 1.0125,                0.97337,                 1.2952,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.0149,                 1.2514,                 1.3334,                0.77405,                0.67476,                0.76792,                0.55412,                 1.0121,                0.97192,                 1.2946,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.0126,                 1.2539,                 1.3293,                0.77222,                0.67662,                0.76844,                0.55439,                  1.011,                0.97054,                 1.2934,                0.00802,                0.00802,                0.00802
                    102,                 1.0057,                 1.2445,                 1.3269,                0.77416,                0.67661,                0.76857,                0.55504,                 1.0104,                0.96916,                 1.2926,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.0163,                 1.2491,                 1.3314,                0.77568,                0.67735,                0.76887,                0.55564,                 1.0098,                 0.9677,                 1.2918,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.0105,                 1.2514,                 1.3296,                0.76819,                0.68142,                0.76929,                0.55584,                 1.0092,                0.96639,                 1.2911,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.0046,                 1.2346,                 1.3242,                0.76923,                0.68168,                0.76993,                0.55602,                 1.0085,                0.96505,                 1.2904,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.0051,                 1.2405,                 1.3243,                0.77194,                0.68116,                0.77028,                0.55638,                  1.008,                0.96335,                 1.2896,               0.007921,               0.007921,               0.007921
                    107,                 1.0071,                 1.2344,                 1.3272,                0.77207,                0.68156,                0.77069,                0.55698,                 1.0077,                0.96145,                 1.2891,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.0098,                 1.2224,                 1.3258,                0.77335,                0.68142,                0.77114,                0.55749,                 1.0074,                0.95992,                 1.2886,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.0073,                  1.232,                 1.3277,                0.77069,                0.68323,                0.77175,                0.55814,                 1.0069,                0.95846,                 1.2879,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.0046,                 1.2264,                 1.3227,                0.77433,                0.68151,                0.77218,                0.55845,                 1.0063,                0.95698,                  1.287,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.0051,                 1.2227,                 1.3222,                0.77469,                0.68169,                0.77231,                0.55849,                  1.006,                0.95552,                 1.2865,               0.007822,               0.007822,               0.007822
                    112,                  1.007,                 1.2202,                 1.3225,                0.77799,                0.68078,                0.77259,                0.55908,                 1.0059,                0.95439,                 1.2861,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.0026,                 1.2168,                 1.3212,                0.77998,                0.68061,                0.77259,                0.55933,                 1.0057,                0.95306,                 1.2855,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.0053,                 1.2161,                 1.3186,                0.78118,                0.68113,                0.77317,                0.55991,                 1.0056,                0.95183,                  1.285,              0.0077626,              0.0077626,              0.0077626
                    115,                0.99882,                 1.2156,                  1.315,                0.78402,                0.67778,                0.77358,                0.56003,                 1.0053,                0.95056,                 1.2843,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.0022,                 1.2169,                 1.3202,                0.78524,                  0.676,                 0.7742,                0.56073,                 1.0049,                0.94899,                 1.2837,               0.007723,               0.007723,               0.007723
                    117,                 1.0011,                  1.212,                 1.3194,                0.78426,                0.67804,                0.77445,                0.56106,                 1.0047,                0.94799,                 1.2832,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.0017,                 1.2124,                 1.3145,                0.78324,                0.67886,                0.77502,                0.56145,                 1.0043,                0.94665,                 1.2826,              0.0076834,              0.0076834,              0.0076834
                    119,                0.99599,                 1.2103,                 1.3139,                0.78536,                0.67635,                0.77548,                0.56199,                 1.0041,                0.94544,                 1.2821,              0.0076636,              0.0076636,              0.0076636
                    120,                 0.9971,                 1.2042,                 1.3123,                0.78564,                 0.6759,                 0.7759,                0.56241,                 1.0035,                0.94412,                 1.2813,              0.0076438,              0.0076438,              0.0076438
                    121,                0.99521,                 1.2031,                 1.3151,                 0.7807,                0.68193,                0.77618,                0.56278,                 1.0031,                0.94256,                 1.2807,               0.007624,               0.007624,               0.007624
                    122,                0.99503,                 1.2057,                 1.3123,                0.78108,                0.68311,                0.77671,                0.56323,                 1.0025,                0.94099,                 1.2799,              0.0076042,              0.0076042,              0.0076042
                    123,                0.98899,                 1.2016,                 1.3116,                0.77947,                 0.6842,                0.77677,                0.56361,                 1.0018,                0.93947,                 1.2792,              0.0075844,              0.0075844,              0.0075844
                    124,                0.98989,                 1.1966,                 1.3093,                0.77677,                0.68685,                0.77725,                0.56402,                 1.0013,                0.93831,                 1.2785,              0.0075646,              0.0075646,              0.0075646
                    125,                0.98616,                 1.1939,                 1.3077,                0.77604,                0.68792,                 0.7775,                0.56461,                 1.0006,                0.93708,                 1.2777,              0.0075448,              0.0075448,              0.0075448
                    126,                0.99337,                 1.1912,                  1.308,                0.77897,                 0.6868,                0.77774,                0.56486,                 1.0001,                0.93562,                  1.277,               0.007525,               0.007525,               0.007525
                    127,                0.99359,                 1.1953,                 1.3101,                0.77956,                0.68637,                0.77814,                0.56515,                0.99955,                0.93436,                 1.2763,              0.0075052,              0.0075052,              0.0075052
                    128,                0.98403,                 1.1877,                 1.3062,                0.77888,                0.68666,                0.77811,                0.56563,                0.99907,                0.93301,                 1.2757,              0.0074854,              0.0074854,              0.0074854
                    129,                0.99086,                 1.1889,                 1.3072,                0.77909,                0.68765,                0.77821,                0.56588,                0.99854,                0.93205,                 1.2751,              0.0074656,              0.0074656,              0.0074656
                    130,                 0.9891,                 1.1869,                 1.3067,                0.78209,                0.68731,                0.77859,                0.56638,                0.99795,                0.93052,                 1.2744,              0.0074458,              0.0074458,              0.0074458
                    131,                 0.9862,                 1.1826,                 1.3041,                 0.7833,                0.68567,                0.77878,                0.56663,                0.99769,                0.92922,                 1.2739,               0.007426,               0.007426,               0.007426
                    132,                0.98988,                 1.1753,                 1.3055,                0.78492,                0.68597,                0.77932,                0.56696,                0.99758,                 0.9277,                 1.2734,              0.0074062,              0.0074062,              0.0074062
                    133,                0.98833,                 1.1724,                 1.3019,                0.78405,                0.68804,                0.77989,                0.56773,                0.99715,                0.92657,                 1.2727,              0.0073864,              0.0073864,              0.0073864
                    134,                0.98453,                 1.1718,                 1.3017,                0.78475,                0.68759,                0.78014,                0.56807,                0.99656,                0.92553,                 1.2718,              0.0073666,              0.0073666,              0.0073666
                    135,                0.98129,                 1.1755,                 1.2996,                0.78378,                0.68745,                0.78086,                0.56822,                0.99625,                0.92446,                 1.2712,              0.0073468,              0.0073468,              0.0073468
                    136,                0.98592,                 1.1822,                  1.301,                0.78544,                0.68627,                 0.7809,                0.56866,                0.99605,                0.92357,                 1.2708,               0.007327,               0.007327,               0.007327
                    137,                0.98186,                 1.1699,                 1.3009,                0.78254,                0.68958,                0.78133,                  0.569,                0.99588,                0.92245,                 1.2703,              0.0073072,              0.0073072,              0.0073072
                    138,                0.97695,                 1.1616,                 1.3005,                0.78135,                0.68941,                0.78187,                0.56931,                0.99533,                0.92101,                 1.2696,              0.0072874,              0.0072874,              0.0072874
                    139,                0.98234,                 1.1697,                 1.2997,                0.78044,                  0.691,                0.78232,                0.56982,                0.99498,                0.92018,                  1.269,              0.0072676,              0.0072676,              0.0072676
                    140,                0.98093,                 1.1697,                 1.2981,                0.77916,                0.69282,                0.78272,                0.57026,                0.99469,                0.91901,                 1.2683,              0.0072478,              0.0072478,              0.0072478
                    141,                 0.9835,                 1.1671,                 1.3024,                0.77998,                0.69295,                 0.7834,                0.57071,                0.99446,                0.91768,                 1.2678,               0.007228,               0.007228,               0.007228
                    142,                0.97695,                 1.1615,                 1.2953,                0.77824,                0.69755,                0.78389,                0.57128,                0.99415,                0.91679,                 1.2673,              0.0072082,              0.0072082,              0.0072082
                    143,                0.97996,                 1.1614,                 1.2988,                0.78133,                0.69589,                0.78451,                0.57184,                0.99387,                0.91571,                 1.2669,              0.0071884,              0.0071884,              0.0071884
                    144,                0.97762,                 1.1608,                 1.2944,                 0.7782,                0.69697,                0.78463,                0.57236,                0.99338,                0.91469,                 1.2661,              0.0071686,              0.0071686,              0.0071686
                    145,                0.97206,                 1.1595,                 1.2932,                0.78263,                0.69473,                0.78512,                0.57276,                0.99308,                0.91375,                 1.2655,              0.0071488,              0.0071488,              0.0071488
                    146,                0.97211,                   1.15,                 1.2925,                 0.7791,                0.69783,                0.78557,                0.57312,                0.99297,                0.91272,                 1.2651,               0.007129,               0.007129,               0.007129
                    147,                0.97948,                 1.1541,                 1.2945,                0.77931,                0.69696,                0.78573,                0.57354,                0.99254,                0.91174,                 1.2644,              0.0071092,              0.0071092,              0.0071092
                    148,                0.97613,                 1.1519,                 1.2903,                0.78105,                0.69641,                0.78621,                0.57406,                0.99217,                0.91065,                 1.2638,              0.0070894,              0.0070894,              0.0070894
                    149,                0.97541,                 1.1509,                 1.2942,                0.78076,                0.69785,                0.78674,                0.57447,                0.99203,                0.90956,                 1.2634,              0.0070696,              0.0070696,              0.0070696
                    150,                0.96932,                 1.1488,                 1.2892,                0.78076,                0.69933,                 0.7871,                0.57453,                0.99173,                0.90826,                 1.2629,              0.0070498,              0.0070498,              0.0070498
                    151,                0.97214,                 1.1448,                 1.2916,                0.78467,                0.69746,                0.78781,                 0.5749,                0.99131,                0.90736,                 1.2625,                0.00703,                0.00703,                0.00703
                    152,                0.97017,                 1.1468,                 1.2903,                0.78045,                 0.7019,                0.78803,                0.57532,                0.99099,                0.90613,                 1.2619,              0.0070102,              0.0070102,              0.0070102
